generation,bestFitness
1,489
2,530
3,530
4,572
5,647
6,665
7,665
8,761
9,818
10,862
11,908
12,937
13,937
14,937
15,983
16,983
17,983
18,983
19,983
20,983
21,983
22,983
23,983
24,983
25,983
26,983
27,983
28,983
29,983
30,983
31,983
32,983
33,983
34,983
35,983
36,983
37,983
38,983
39,983
40,983
41,983
42,983
43,983
44,983
45,983
46,983
47,983
48,983
49,983
50,983
51,983
52,983
53,983
54,983
55,983
56,983
57,983
58,983
59,983
60,983
61,983
62,983
63,983
64,983
65,983
66,983
67,983
68,983
69,983
70,983
71,983
72,983
73,983
74,983
75,983
76,983
77,983
78,983
79,983
80,983
81,983
82,983
83,983
84,983
85,983
86,983
87,983
88,983
89,983
90,983
91,983
92,983
93,983
94,983
95,983
96,983
97,983
98,983
99,983
100,983
101,983
102,983
103,983
104,983
105,983
106,983
107,983
108,983
109,983
110,983
111,983
112,983
113,983
114,983
115,983
116,983
117,983
118,983
119,983
120,983
121,983
122,983
123,983
124,983
125,983
126,983
127,983
128,983
129,983
130,983
131,983
132,983
133,983
134,983
135,983
136,983
137,983
138,983
139,983
140,983
141,983
142,983
143,983
144,983
145,983
146,983
147,983
148,983
149,983
150,983
151,983
152,983
153,983
154,983
155,983
156,983
157,983
158,983
159,983
160,983
161,983
162,983
163,983
164,983
165,983
166,983
167,983
168,983
169,983
170,983
171,983
172,983
173,983
174,983
175,983
176,983
177,983
178,983
179,983
180,983
181,983
182,983
183,983
184,983
185,983
186,983
187,983
188,983
189,983
190,983
191,983
192,983
193,983
194,983
195,983
196,983
197,983
198,983
199,983
200,983
