maxGenerations,populationSize,mutationRate,tournamentSize,avgFitness,avgTime[s]
100,10,0.001,3,179,0.0156877
100,10,0.001,5,144,0.0194296
100,10,0.001,10,194,0.0298017
100,10,0.01,3,141,0.0144907
100,10,0.01,5,154,0.0191892
100,10,0.01,10,203,0.0309494
100,10,0.05,3,694,0.0151337
100,10,0.05,5,812,0.020841
100,10,0.05,10,583,0.0318034
100,50,0.001,3,700,0.0743103
100,50,0.001,5,642,0.0929804
100,50,0.001,10,590,0.150463
100,50,0.01,3,824,0.0763799
100,50,0.01,5,829,0.0982648
100,50,0.01,10,819,0.153264
100,50,0.05,3,872,0.0777604
100,50,0.05,5,872,0.100831
100,50,0.05,10,872,0.159438
100,100,0.001,3,789,0.145941
100,100,0.001,5,708,0.191486
100,100,0.001,10,652,0.31539
100,100,0.01,3,866,0.149404
100,100,0.01,5,830,0.195794
100,100,0.01,10,831,0.313266
100,100,0.05,3,872,0.153866
100,100,0.05,5,872,0.209039
100,100,0.05,10,872,0.3463
200,10,0.001,3,65,0.0297895
200,10,0.001,5,92,0.0389394
200,10,0.001,10,91,0.0640265
200,10,0.01,3,527,0.0321174
200,10,0.01,5,486,0.0400265
200,10,0.01,10,627,0.0631879
200,10,0.05,3,858,0.0310351
200,10,0.05,5,830,0.0411503
200,10,0.05,10,766,0.0673529
200,50,0.001,3,585,0.150282
200,50,0.001,5,636,0.196774
200,50,0.001,10,612,0.325945
200,50,0.01,3,826,0.164582
200,50,0.01,5,810,0.195424
200,50,0.01,10,814,0.315038
200,50,0.05,3,872,0.157131
200,50,0.05,5,872,0.206588
200,50,0.05,10,872,0.328895
200,100,0.001,3,770,0.30186
200,100,0.001,5,720,0.385951
200,100,0.001,10,740,0.608878
200,100,0.01,3,865,0.299115
200,100,0.01,5,842,0.400232
200,100,0.01,10,869,0.620395
200,100,0.05,3,872,0.31245
200,100,0.05,5,872,0.406487
200,100,0.05,10,872,0.673762
500,10,0.001,3,152,0.0763399
500,10,0.001,5,113,0.112148
500,10,0.001,10,134,0.167643
500,10,0.01,3,441,0.0909462
500,10,0.01,5,456,0.104465
500,10,0.01,10,488,0.178321
500,10,0.05,3,872,0.0855902
500,10,0.05,5,872,0.104573
500,10,0.05,10,869,0.164228
500,50,0.001,3,678,0.369057
500,50,0.001,5,670,0.490835
500,50,0.001,10,665,0.790643
500,50,0.01,3,850,0.377163
500,50,0.01,5,855,0.498559
500,50,0.01,10,865,0.793682
500,50,0.05,3,872,0.394632
500,50,0.05,5,872,0.528233
500,50,0.05,10,872,0.822081
500,100,0.001,3,797,0.740261
500,100,0.001,5,689,0.981184
500,100,0.001,10,752,1.56276
500,100,0.01,3,872,0.760129
500,100,0.01,5,872,0.995559
500,100,0.01,10,866,1.59465
500,100,0.05,3,872,0.783237
500,100,0.05,5,872,1.02214
500,100,0.05,10,872,1.62426
